Ticker,Year,Revenue,Revenue Growth %,Gross Profit,Gross Profit Margin %,Operating Income,Operating Margin %,EBIT,EBIT Margin %,EBITDA,EBITDA Margin %,Net Income,Net Profit Margin %,Basic EPS,Diluted EPS,Normalized EPS,Dividend Per Share
CMCSA,2015,74510000000.0,0.0834,51960000000.0,0.6974,16000000000.0,0.2147,16070000000.0,0.2157,24750000000.0,0.3322,8160000000.0,0.1129,1.64,1.62,1.62,0.5
CMCSA,2016,80740000000.0,0.0836,56390000000.0,0.6984,16830000000.0,0.2085,17270000000.0,0.2139,26690000000.0,0.3306,8680000000.0,0.1118,1.8,1.78,1.74,0.55
CMCSA,2017,85030000000.0,0.0532,59670000000.0,0.7018,18020000000.0,0.2119,18440000000.0,0.2169,28570000000.0,0.336,22740000000.0,0.2696,4.83,4.75,2.03,0.63
CMCSA,2018,94510000000.0,0.1115,64820000000.0,0.6858,19010000000.0,0.2011,18780000000.0,0.1988,29800000000.0,0.3153,11730000000.0,0.1255,2.56,2.53,2.74,0.76
CMCSA,2019,108940000000.0,0.1527,74500000000.0,0.6839,21130000000.0,0.1939,21560000000.0,0.1979,34520000000.0,0.3168,13060000000.0,0.1223,2.87,2.83,3.12,0.84
CMCSA,2020,103560000000.0,-0.0494,70440000000.0,0.6802,17490000000.0,0.1689,18650000000.0,0.1801,31750000000.0,0.3066,10530000000.0,0.1033,2.3,2.28,2.61,0.92
CMCSA,2021,116390000000.0,0.1238,77940000000.0,0.6696,20820000000.0,0.1789,23370000000.0,0.2008,37180000000.0,0.3194,14160000000.0,0.1189,3.09,3.04,3.24,1.0
CMCSA,2022,121430000000.0,0.0433,83210000000.0,0.6853,22620000000.0,0.1863,13180000000.0,0.1085,27000000000.0,0.2224,5370000000.0,0.0406,1.22,1.21,3.65,1.08
CMCSA,2023,121570000000.0,0.0012,84810000000.0,0.6976,23310000000.0,0.1918,24570000000.0,0.2021,38900000000.0,0.32,15390000000.0,0.1243,3.73,3.71,3.97,1.16
CMCSA,2024,123730000000.0,0.0178,86710000000.0,0.7008,23300000000.0,0.1883,22810000000.0,0.1843,37610000000.0,0.304,16190000000.0,0.1283,4.17,4.14,4.33,0.93
CHTR,2015,9750000000.0,0.0709,3960000000.0,0.4057,1200000000.0,0.1233,980000000.0,0.1,3100000000.0,0.3178,-270000000.0,-0.0278,-2.68,-2.68,-0.78,
CHTR,2016,29000000000.0,1.9734,12480000000.0,0.4304,4340000000.0,0.1496,3320000000.0,0.1144,10230000000.0,0.3526,3520000000.0,0.1291,17.05,15.94,0.69,
CHTR,2017,41580000000.0,0.4337,18080000000.0,0.4347,4450000000.0,0.1071,4120000000.0,0.099,14710000000.0,0.3537,9900000000.0,0.2433,38.55,34.09,3.44,
CHTR,2018,43630000000.0,0.0494,18820000000.0,0.4312,5650000000.0,0.1294,5230000000.0,0.1198,15540000000.0,0.3562,1230000000.0,0.0345,5.29,5.22,6.13,
CHTR,2019,45760000000.0,0.0488,19580000000.0,0.4279,6610000000.0,0.1445,6230000000.0,0.1361,16150000000.0,0.353,1670000000.0,0.0435,7.6,7.45,9.03,
CHTR,2020,48100000000.0,0.051,21200000000.0,0.4407,8460000000.0,0.176,8150000000.0,0.1694,17850000000.0,0.3712,3220000000.0,0.0764,15.85,15.4,16.47,
CHTR,2021,51680000000.0,0.0745,23460000000.0,0.4539,10860000000.0,0.21,10430000000.0,0.2017,19770000000.0,0.3825,4650000000.0,0.1029,25.34,24.47,26.66,
CHTR,2022,54020000000.0,0.0453,29510000000.0,0.5463,12240000000.0,0.2266,12020000000.0,0.2225,20920000000.0,0.3873,5060000000.0,0.1083,31.3,30.74,31.94,
CHTR,2023,54610000000.0,0.0108,29970000000.0,0.5488,12510000000.0,0.229,12040000000.0,0.2205,20740000000.0,0.3798,4560000000.0,0.0963,30.54,29.99,32.45,
CHTR,2024,55090000000.0,0.0088,30780000000.0,0.5587,13250000000.0,0.2404,12730000000.0,0.2311,21400000000.0,0.3886,5080000000.0,0.1063,35.53,34.97,37.75,
TMUS,2015,32470000000.0,0.0982,17570000000.0,0.5411,2690000000.0,0.0829,2470000000.0,0.076,7160000000.0,0.2204,680000000.0,0.0226,0.83,0.82,0.99,
TMUS,2016,37490000000.0,0.1547,20940000000.0,0.5585,3320000000.0,0.0885,4040000000.0,0.1079,10290000000.0,0.2744,1410000000.0,0.0389,1.71,1.69,1.13,
TMUS,2017,40600000000.0,0.0831,22900000000.0,0.5639,4650000000.0,0.1146,4820000000.0,0.1186,10800000000.0,0.266,4480000000.0,0.1117,5.39,5.2,2.38,
TMUS,2018,43310000000.0,0.0666,24960000000.0,0.5762,5310000000.0,0.1226,5260000000.0,0.1213,11740000000.0,0.2711,2890000000.0,0.0667,3.4,3.36,3.46,
TMUS,2019,45000000000.0,0.039,26480000000.0,0.5884,5720000000.0,0.1272,5710000000.0,0.127,12330000000.0,0.274,3470000000.0,0.0771,4.06,4.02,4.61,
TMUS,2020,68400000000.0,0.52,40130000000.0,0.5867,7050000000.0,0.1031,6230000000.0,0.0911,20530000000.0,0.3002,3060000000.0,0.0401,2.68,2.65,4.41,
TMUS,2021,80120000000.0,0.1714,43510000000.0,0.5431,6890000000.0,0.086,6690000000.0,0.0835,23190000000.0,0.2895,3020000000.0,0.0377,2.42,2.41,4.33,
TMUS,2022,79570000000.0,-0.0068,43370000000.0,0.545,8110000000.0,0.1019,6510000000.0,0.0818,20160000000.0,0.2534,2590000000.0,0.0326,2.07,2.06,6.33,
TMUS,2023,78560000000.0,-0.0127,48370000000.0,0.6157,14240000000.0,0.1813,14330000000.0,0.1825,27150000000.0,0.3456,8320000000.0,0.1059,7.02,6.93,8.01,0.65
TMUS,2024,81400000000.0,0.0362,51750000000.0,0.6357,18010000000.0,0.2213,18120000000.0,0.2226,31040000000.0,0.3814,11340000000.0,0.1393,9.7,9.66,9.9,2.83
T,2015,146800000000.0,0.1084,79760000000.0,0.5433,24820000000.0,0.1691,24810000000.0,0.169,46830000000.0,0.319,13350000000.0,0.0932,2.37,2.37,2.72,2.36
T,2016,163790000000.0,0.1157,86600000000.0,0.5287,23900000000.0,0.1459,24720000000.0,0.1509,50570000000.0,0.3088,12980000000.0,0.0814,2.1,2.1,2.83,1.93
T,2017,160550000000.0,-0.0198,82740000000.0,0.5153,22880000000.0,0.1425,21440000000.0,0.1335,45830000000.0,0.2854,29450000000.0,0.1859,4.77,4.76,3.05,1.47
T,2018,170760000000.0,0.0636,91340000000.0,0.5349,26140000000.0,0.1531,32830000000.0,0.1923,61260000000.0,0.3588,19370000000.0,0.1169,2.85,2.85,3.52,2.0
T,2019,181190000000.0,0.0611,97050000000.0,0.5356,29410000000.0,0.1623,26890000000.0,0.1484,55400000000.0,0.3058,13900000000.0,0.0826,1.9,1.89,3.58,2.04
T,2020,143050000000.0,-0.2105,77400000000.0,0.5411,24060000000.0,0.1682,7370000000.0,0.0515,29900000000.0,0.209,-5370000000.0,-0.0106,-0.75,-0.75,3.18,2.08
T,2021,134040000000.0,-0.063,73630000000.0,0.5493,26110000000.0,0.1948,35890000000.0,0.2677,53740000000.0,0.4009,19870000000.0,0.1774,2.77,2.73,2.84,2.6
T,2022,120740000000.0,-0.0992,69890000000.0,0.5789,22910000000.0,0.1898,3010000000.0,0.025,21040000000.0,0.1742,-8730000000.0,-0.0569,-1.13,-1.13,2.57,0.83
T,2023,122430000000.0,0.014,72310000000.0,0.5906,24650000000.0,0.2014,26550000000.0,0.2169,45330000000.0,0.3703,14190000000.0,0.1276,1.97,1.97,2.41,1.11
T,2024,122340000000.0,-0.0008,73120000000.0,0.5977,24120000000.0,0.1972,23460000000.0,0.1917,44040000000.0,0.36,10750000000.0,0.1002,1.49,1.49,2.19,1.11
VZ,2015,131620000000.0,0.0357,79060000000.0,0.6007,33060000000.0,0.2512,33050000000.0,0.2511,49060000000.0,0.3728,17880000000.0,0.1396,4.38,4.37,3.99,2.78
VZ,2016,125980000000.0,-0.0429,73280000000.0,0.5817,30260000000.0,0.2402,25300000000.0,0.2008,41230000000.0,0.3273,13130000000.0,0.108,3.22,3.21,3.87,2.29
VZ,2017,126030000000.0,0.0004,72970000000.0,0.579,29200000000.0,0.2317,25250000000.0,0.2003,42200000000.0,0.3348,30100000000.0,0.2424,7.37,7.36,3.76,1.75
VZ,2018,130860000000.0,0.0383,75360000000.0,0.5758,26870000000.0,0.2053,24360000000.0,0.1862,41770000000.0,0.3192,15530000000.0,0.1226,3.76,3.76,4.71,2.37
VZ,2019,131870000000.0,0.0077,77140000000.0,0.585,30560000000.0,0.2318,27340000000.0,0.2073,44020000000.0,0.3338,19270000000.0,0.1501,4.66,4.65,4.81,2.42
VZ,2020,128290000000.0,-0.0271,77090000000.0,0.6009,28800000000.0,0.2245,28150000000.0,0.2194,44870000000.0,0.3497,17800000000.0,0.143,4.3,4.3,4.9,2.47
VZ,2021,133610000000.0,0.0415,77310000000.0,0.5786,32450000000.0,0.2429,32860000000.0,0.2459,49060000000.0,0.3672,22070000000.0,0.1693,5.32,5.32,5.5,3.16
VZ,2022,136840000000.0,0.0241,77700000000.0,0.5679,30470000000.0,0.2227,31740000000.0,0.2319,48840000000.0,0.3569,21260000000.0,0.1589,5.06,5.06,5.17,1.93
VZ,2023,133970000000.0,-0.0209,79090000000.0,0.5903,28720000000.0,0.2144,22160000000.0,0.1654,39780000000.0,0.2969,11610000000.0,0.0903,2.76,2.75,4.71,1.97
VZ,2024,134790000000.0,0.0061,80690000000.0,0.5987,28690000000.0,0.2128,29290000000.0,0.2173,47180000000.0,0.3501,17510000000.0,0.1332,4.15,4.14,4.59,2.67
